student_id,module_1,module_2,module_3,module_4,module_5,module_6,module_7,module_8,module_9,module_10,module_11,module_12
S0001,68,15,67,28,23,67,1,42,,,,
S0002,80,20,53,46,45,30,10,12,9,78,92,
S0003,20,49,21,65,78,73,,,,,,
S0004,46,10,22,13,81,77,,,,,,
S0005,29,44,45,29,56,28,73,95,1,6,49,45
S0006,77,38,11,67,32,4,,,,,,
S0007,2,60,41,29,54,54,16,56,,,,
S0008,93,45,30,35,64,25,19,80,99,30,91,
S0009,47,42,32,30,37,41,25,49,,,,
S0010,98,99,79,4,34,16,53,,,,,
S0011,47,62,52,77,97,24,55,87,78,50,56,
S0012,59,62,20,66,45,13,73,34,57,48,58,
S0013,84,34,36,46,87,26,94,58,,,,
S0014,89,23,64,2,10,45,70,,,,,
S0015,95,42,40,2,38,74,6,74,10,16,,
S0016,37,86,55,3,32,76,39,88,32,10,86,40
S0017,90,95,66,34,35,63,33,,,,,
S0018,97,98,68,71,9,66,,,,,,
S0019,29,14,89,30,12,21,81,8,6,55,93,
S0020,36,38,21,52,78,66,34,30,50,97,73,
S0021,17,65,81,30,84,83,29,50,55,97,,
S0022,26,35,56,55,100,66,45,34,75,97,12,
S0023,12,0,47,30,48,44,50,,,,,
S0024,21,34,8,48,77,81,74,9,83,45,18,
S0025,32,14,51,16,3,97,50,50,34,,,
