student_id,module_1,module_2,module_3,module_4,module_5,module_6,module_7,module_8,module_9,module_10,module_11,module_12
S0001,36,60,54,47,5,98,47,30,,,,
S0002,21,60,65,26,43,32,60,29,40,97,,
S0003,11,32,72,69,37,71,92,43,19,44,75,50
S0004,28,51,69,67,55,80,76,55,,,,
S0005,34,100,76,19,58,90,72,58,91,94,,
S0006,50,90,18,37,18,3,77,,,,,
S0007,89,45,95,90,56,16,47,,,,,
S0008,26,7,49,62,7,16,4,28,42,92,,
S0009,59,65,45,42,36,89,7,,,,,
S0010,96,58,35,40,17,50,94,32,48,66,1,
S0011,62,63,97,90,96,65,71,85,,,,
S0012,78,29,41,32,38,85,,,,,,
S0013,38,41,36,91,22,80,15,92,79,,,
S0014,58,27,0,87,24,54,4,91,9,,,
S0015,88,5,52,86,55,50,89,51,68,69,,
S0016,77,62,98,89,36,18,,,,,,
S0017,65,37,75,75,2,14,21,,,,,
S0018,6,27,60,40,61,35,,,,,,
S0019,73,33,43,73,63,43,51,,,,,
S0020,28,7,84,63,13,73,69,80,,,,
S0021,92,81,11,26,76,80,71,78,35,2,75,42
S0022,55,3,2,72,54,15,21,26,19,46,84,
S0023,40,36,10,52,87,88,24,43,91,1,,
S0024,63,55,96,46,49,27,,,,,,
S0025,47,65,70,10,61,76,71,38,98,,,
S0026,53,54,57,75,18,100,26,80,,,,
S0027,71,65,76,66,2,75,,,,,,
S0028,49,65,22,49,100,87,22,60,,,,
S0029,44,40,11,81,54,5,73,77,,,,
S0030,42,21,30,40,71,90,14,16,13,26,,
S0031,100,68,79,19,65,98,16,93,78,74,66,
S0032,90,40,28,14,96,50,58,70,,,,
S0033,87,58,71,49,86,96,79,42,23,82,63,73
S0034,79,88,23,99,79,19,,,,,,
S0035,88,80,44,64,33,7,16,5,42,,,
S0036,14,0,58,89,80,9,55,59,41,17,,
S0037,39,98,80,61,76,15,2,28,44,32,51,
S0038,69,60,100,49,32,79,77,,,,,
S0039,2,52,47,76,53,72,86,,,,,
S0040,15,82,36,29,35,99,60,44,85,,,
S0041,73,56,86,23,93,47,,,,,,
S0042,87,90,26,52,50,1,,,,,,
S0043,31,98,14,37,4,15,12,,,,,
S0044,38,62,76,56,92,49,70,74,69,27,33,12
S0045,76,12,54,26,93,93,55,50,83,44,45,13
S0046,34,33,89,90,33,28,50,67,47,,,
S0047,70,51,37,22,3,69,57,96,42,9,23,0
S0048,31,82,58,87,51,41,27,,,,,
S0049,37,34,37,65,9,12,60,63,72,13,44,10
S0050,80,91,13,73,75,5,22,1,21,46,31,
