student_id,module_1,module_2,module_3,module_4,module_5,module_6,module_7,module_8,module_9,module_10,module_11,module_12
S0001,92,99,92,16,81,62,58,60,45,91,,
S0002,12,75,96,82,99,50,9,17,56,73,55,
S0003,16,71,23,89,6,7,85,10,61,,,
S0004,59,79,98,10,20,3,21,,,,,
S0005,78,21,10,88,82,42,79,67,60,80,50,
S0006,64,21,44,8,90,93,,,,,,
S0007,75,53,97,45,98,70,24,54,9,8,,
S0008,34,80,51,73,35,73,45,0,13,2,,
S0009,77,89,78,95,33,41,83,49,37,84,15,
S0010,19,59,30,66,98,67,39,82,90,58,99,93
S0011,87,53,74,100,81,83,78,83,91,81,,
S0012,21,8,96,46,64,54,61,39,44,21,40,
S0013,98,40,18,5,85,68,96,62,27,37,47,
S0014,92,48,64,49,5,94,83,,,,,
S0015,71,7,94,60,45,69,55,57,82,,,
S0016,46,86,98,57,56,91,100,82,,,,
S0017,80,54,13,65,47,25,8,,,,,
S0018,3,41,56,100,83,66,13,64,90,11,16,
S0019,100,7,92,14,92,1,21,49,51,84,,
S0020,36,82,18,66,41,12,25,3,89,50,15,
S0021,96,18,23,39,68,89,25,67,85,65,38,
S0022,65,85,22,37,14,43,59,5,82,73,44,
S0023,36,26,53,23,50,0,,,,,,
S0024,99,62,70,64,58,82,54,9,91,2,83,
S0025,37,29,40,14,62,35,,,,,,
S0026,13,28,80,64,5,26,42,,,,,
S0027,34,2,8,26,100,29,47,,,,,
S0028,29,88,32,23,55,4,51,6,,,,
S0029,27,92,94,30,39,86,53,60,93,47,,
S0030,94,9,3,40,19,4,68,8,33,72,29,97
S0031,97,96,0,40,99,49,,,,,,
S0032,73,35,36,72,36,60,37,,,,,
S0033,18,60,83,46,92,39,2,,,,,
S0034,28,66,51,5,25,38,,,,,,
S0035,25,33,24,1,71,34,17,,,,,
S0036,72,5,29,16,19,80,22,10,100,40,,
S0037,92,2,31,46,59,57,42,39,,,,
S0038,83,62,1,12,57,38,37,,,,,
S0039,18,77,0,53,68,10,38,,,,,
S0040,60,17,91,56,47,95,18,55,68,49,95,82
S0041,21,81,18,21,38,66,,,,,,
S0042,95,45,31,25,15,40,86,64,22,32,44,
S0043,39,66,74,57,36,65,37,42,89,,,
S0044,27,62,21,72,53,14,89,23,84,10,56,
S0045,90,40,18,14,46,60,,,,,,
S0046,41,34,72,50,69,20,,,,,,
S0047,94,2,90,50,48,32,,,,,,
S0048,83,3,17,73,30,60,96,88,7,46,,
S0049,49,1,28,37,94,34,56,64,51,82,,
S0050,37,43,45,9,34,75,26,58,,,,
