Date,Time,IP_Address,User_Agent,Request,Status_Code
2025-09-20,10:16:45,192.168.1.2,Chrome/90.0.4430.212,GET /index.html,200
2025-09-20,10:15:32,192.168.1.1,Mozilla/5.0,POST /login,401
2025-09-20,10:18:12,192.168.1.3,Firefox/89.0,POST /login,401
2025-09-20,10:20:55,192.168.1.4,Safari/13.1,GET /products,200
2025-09-20,10:22:37,192.168.1.5,Edge/91.0.864.48,POST /login,401
2025-09-20,10:23:49,192.168.1.6,Opera/76.0.4017.123,GET /contact,200
2025-09-20,10:25:10,192.168.1.7,Mozilla/5.0,POST /login,401
2025-09-20,10:27:34,192.168.1.8,Chrome/90.0.4430.212,GET /about,200
2025-09-20,10:28:50,192.168.1.9,Firefox/89.0,POST /login,401
2025-09-20,10:30:22,192.168.1.10,Safari/13.1,GET /blog,200
2025-09-20,10:32:47,192.168.1.11,Edge/91.0.864.48,GET /terms,200
2025-09-20,10:33:59,192.168.1.12,Opera/76.0.4017.123,POST /login,401
2025-09-20,10:36:15,192.168.1.13,Mozilla/5.0,GET /privacy,200
2025-09-20,10:37:28,192.168.1.14,Chrome/90.0.4430.212,POST /login,401
2025-09-20,10:38:40,192.168.1.15,Firefox/89.0,GET /help,200
2025-09-20,10:40:55,192.168.1.16,Safari/13.1,GET /features,200
2025-09-20,10:42:12,192.168.1.17,Edge/91.0.864.48,POST /login,401
2025-09-20,10:43:29,192.168.1.18,Opera/76.0.4017.123,GET /pricing,200
2025-09-20,10:45:45,192.168.1.19,Mozilla/5.0,POST /login,401
2025-09-20,10:46:57,192.168.1.20,Chrome/90.0.4430.212,GET /faq,200
