Time,W Dir,W Spd m/s,STD W Dir,Temp 2m,Temp 8m,Glob Rad W/m2,Rel Hum %
23/03/2011 15:00,257.37,2.55374,26.03,15.3669,17.89,417.4,34.64
23/03/2011 16:00,266.141,2.44616,27.59,14.001,17.87,306.5,34.8
23/03/2011 17:00,276.023,2.33857,22.01,12.6351,17.1,144.4,36.06
23/03/2011 18:00,286.571,2.23098,13.54,11.2692,14.73,27.94,45.84
23/03/2011 19:00,289.995,2.22362,8.59999,9.92897,13.68,,50.14
23/03/2011 20:00,293.453,2.21626,9.62,8.58875,12.38,,54.83
23/03/2011 21:00,296.922,2.2089,8.81,7.24851,9.95,,66.49
23/03/2011 22:00,297.74,1.97262,10.43,6.31663,8.85999,,69.12
23/03/2011 23:00,298.782,1.73635,7.87,5.38474,8.75,,69.1699
24/03/2011 00:00,300.151,1.50007,4.24699,4.45287,7.09,,77.3999
24/03/2011 01:00,298.468,1.2687,10.05,4.06392,6.907,,77.2999
24/03/2011 02:00,296.028,1.03733,10.23,3.67498,5.242,,82.7
24/03/2011 03:00,292.192,0.805962,15.47,3.28603,4.228,,83.3999
24/03/2011 04:00,292.314,0.768467,26.71,3.04507,2.796,,89.2999
24/03/2011 05:00,292.45,0.730973,4.212,2.80412,2.943,,90
24/03/2011 06:00,292.599,0.693479,0,2.56316,2.369,1.243,91
24/03/2011 07:00,296.692,0.654604,0.054,5.21406,3.525,60.83,91
24/03/2011 08:00,301.335,0.615729,2.552,7.86496,6.939,197.1,83
24/03/2011 09:00,306.573,0.576856,25.05,10.5159,10.57,324.3,66.0199
24/03/2011 10:00,238.016,1.07496,12.06,11.7466,14.24,430.6,55.1299
24/03/2011 11:00,214.787,1.57307,22.47,12.9774,15.63,499.3,50.22
24/03/2011 12:00,206.786,2.07118,63.3,14.2082,16.5,298,50.8799
24/03/2011 13:00,213.039,1.86465,18.81,14.5471,15.77,294.8,51.36
24/03/2011 14:00,221.035,1.65811,23.71,14.886,16.74,445.3,45.58
24/03/2011 15:00,231.149,1.45157,16.02,15.2249,15.87,237.9,50.34
24/03/2011 16:00,255.354,1.67598,29.89,14.1343,16.07,148.6,45.96
24/03/2011 17:00,275.587,1.90039,8.12,13.0436,14.86,93,53.46
24/03/2011 18:00,289.424,2.1248,3.74,11.953,13.48,26.59,61.65
24/03/2011 19:00,294.266,1.98415,18.14,10.242,11.72,0.159,64
24/03/2011 20:00,299.907,1.8435,0,8.53108,11.35,,70.1
24/03/2011 21:00,306.424,1.70285,27.74,6.82012,9.42999,,76.6
24/03/2011 22:00,318.15,1.74899,0.073,6.25185,8.89,,76.2
24/03/2011 23:00,329.7,1.79513,6.53999,5.68359,8.15999,,77.7999
25/03/2011 00:00,340.229,1.84127,21.14,5.11532,6.821,,83.8999
25/03/2011 01:00,337.827,1.86833,8.90999,4.73928,6.409,,83.2
25/03/2011 02:00,335.489,1.89538,4.314,4.36324,4.78699,,89.2
25/03/2011 03:00,333.221,1.92243,6.407,3.9872,4.38599,,90.1
25/03/2011 04:00,334.84,1.9481,12.04,3.51387,4.257,,91.1
25/03/2011 05:00,336.417,1.97375,10.03,3.04053,4.19399,,89.1
25/03/2011 06:00,337.953,1.99942,9.09,2.5672,4.23499,0.773999,86.8999
25/03/2011 07:00,344.075,1.62945,34.18,4.61001,5.981,31.12,83.7
25/03/2011 08:00,354.293,1.25948,29.52,6.65281,8.31999,111.5,78.2999
25/03/2011 09:00,12.7262,0.889505,32.06,8.69562,10.5,289.3,72.8999
25/03/2011 10:00,311.904,1.12641,18.72,10.0066,11.36,425.4,70.5
25/03/2011 11:00,213.701,1.36331,53.7599,11.3176,12.32,424.4,66.0599
25/03/2011 12:00,207.991,1.60022,22.62,12.6286,13.67,464.6,66.08
25/03/2011 13:00,233.381,2.06052,30.42,13.1495,15.53,539.3,63.3799
25/03/2011 14:00,250.366,2.52083,34.49,13.6704,15.53,273.9,59.04
25/03/2011 15:00,260.788,2.98114,19.27,14.1913,14.74,272.6,61.89
25/03/2011 16:00,267.536,3.01703,14.13,12.8871,14.28,102.9,62.7
25/03/2011 17:00,274.214,3.05293,13.9,11.5829,14.07,58.27,65.0099
25/03/2011 18:00,280.647,3.08882,10.61,10.2788,13.95,57.0699,65.8999
25/03/2011 19:00,317.742,3.59667,14.35,8.65431,12.58,,60.6
