date, pm25, pm10, o3, no2
13/09/2024,13,7,16,7
12/09/2024,10,5,10,8
11/09/2024,11,5,22,6
10/09/2024,22,6,22,7
09/09/2024,22,10,25,5
08/09/2024,56,9,24,5
07/09/2024,68,20,25,5
06/09/2024,70,29,36,3
05/09/2024,27,33,38,3
04/09/2024,21,8,30,2
03/09/2024,26,8,26,5
02/09/2024,56,9,24,6
01/09/2024,48,20,24,7
31/08/2024,54,18,28,3
30/08/2024,45,18,30,4
29/08/2024,37,15,29,6
28/08/2024,38,14,26,7
27/08/2024,53,15,27,12
26/08/2024,57,18,22,8
25/08/2024,27,20,26,5
24/08/2024,18,11,27,2
23/08/2024,22,8,26,6
22/08/2024,19,9,25,6
21/08/2024,23,10,26,4
20/08/2024,36,13,23,6
19/08/2024,62,13,27,4
18/08/2024,43,25,24,11
17/08/2024,24,15,28,6
16/08/2024,21,10,25,6
15/08/2024,18,9,26,7
14/08/2024,19,9,22,5
13/08/2024,21,9,27,5
12/08/2024,37,11,24,6
11/08/2024,35,14,24,6
10/08/2024,28,12,31,6
09/08/2024,17,10,24,5
08/08/2024,22,8,25,4
07/08/2024,22,10,25,6
06/08/2024,18,12,22,5
05/08/2024,24,8,28,4
04/08/2024,27,10,20,5
03/08/2024,31,11,22,4
02/08/2024,41,12,23,4
01/08/2024,41,14,33,6
31/07/2024,29,17,39,10
30/07/2024,22,14,42,5
29/07/2024,35,10,26,6
28/07/2024,25,14,41,11
27/07/2024,25,9,26,6
26/07/2024,18,9,23,7
25/07/2024,17,8,20,5
24/07/2024,32,9,22,6
23/07/2024,13,17,22,9
22/07/2024,20,5,27,4
21/07/2024,12,8,15,8
20/07/2024,21,5,22,4
19/07/2024,40,10,19,4
18/07/2024,44,18,35,9
17/07/2024,25,18,30,12
16/07/2024,40,9,27,7
15/07/2024,24,13,25,7
14/07/2024,9,9,27,7
13/07/2024,13,4,14,6
12/07/2024,12,5,17,4
11/07/2024,6,6,19,5
10/07/2024,16,4,20,3
09/07/2024,17,8,20,6
08/07/2024,15,7,19,4
07/07/2024,16,7,28,5
06/07/2024,18,7,23,4
05/07/2024,19,11,24,3
04/07/2024,22,10,26,4
03/07/2024,24,11,26,4
02/07/2024,20,10,22,6
01/07/2024,21,9,25,3
30/06/2024,19,11,23,6
29/06/2024,20,9,19,3
28/06/2024,17,8,22,6
27/06/2024,43,9,25,4
26/06/2024,59,19,26,5
25/06/2024,40,22,43,5
24/06/2024,24,15,39,4
23/06/2024,18,9,29,5
22/06/2024,24,7,29,3
21/06/2024,30,9,30,3
20/06/2024,35,12,35,6
19/06/2024,21,12,40,6
18/06/2024,18,8,29,4
17/06/2024,17,7,26,3
16/06/2024,16,6,27,7
15/06/2024,14,6,31,5
14/06/2024,22,5,24,6
13/06/2024,36,9,27,6
12/06/2024,22,14,23,8
11/06/2024,10,9,28,7
10/06/2024,14,4,24,4
09/06/2024,20,5,23,3
08/06/2024,21,7,28,4
07/06/2024,36,9,25,4
06/06/2024,41,13,30,5
05/06/2024,27,14,27,5
04/06/2024,24,12,26,5
03/06/2024,19,11,26,4
02/06/2024,46,7,23,4
01/06/2024,42,14,30,3
31/05/2024,47,13,38,3
30/05/2024,14,17,32,2
29/05/2024,16,7,28,3
28/05/2024,21,7,28,5
27/05/2024,18,9,18,10
26/05/2024,43,6,24,4
25/05/2024,43,12,26,5
24/05/2024,18,14,27,8
23/05/2024,10,7,18,6
22/05/2024,23,4,25,4
21/05/2024,36,8,30,7
20/05/2024,36,12,27,3
19/05/2024,61,11,32,3
18/05/2024,58,22,41,2
17/05/2024,61,19,38,3
16/05/2024,45,21,34,7
15/05/2024,43,14,19,5
14/05/2024,54,13,25,6
13/05/2024,64,18,23,8
12/05/2024,65,25,33,6
11/05/2024,51,24,42,5
10/05/2024,54,18,36,5
09/05/2024,46,23,38,11
08/05/2024,61,15,28,5
07/05/2024,38,22,34,8
06/05/2024,37,11,33,3
05/05/2024,43,11,34,5
04/05/2024,43,13,35,10
03/05/2024,65,16,22,7
02/05/2024,68,30,31,8
01/05/2024,58,30,37,2
30/04/2024,24,21,33,6
29/04/2024,18,14,36,7
28/04/2024,21,10,29,8
27/04/2024,23,7,32,5
26/04/2024,16,8,34,4
25/04/2024,25,7,34,5
24/04/2024,29,11,34,5
23/04/2024,30,15,33,5
22/04/2024,36,13,32,3
21/04/2024,21,12,25,11
20/04/2024,21,10,35,1
19/04/2024,14,10,85,3
18/04/2024,18,6,31,4
17/04/2024,15,8,26,7
16/04/2024,11,6,32,4
15/04/2024,19,6,32,4
14/04/2024,22,8,34,4
13/04/2024,25,10,32,4
12/04/2024,22,10,30,5
11/04/2024,17,11,30,7
10/04/2024,21,8,28,4
09/04/2024,30,11,26,8
08/04/2024,24,12,29,9
07/04/2024,20,10,29,10
06/04/2024,30,8,36,1
05/04/2024,26,11,39,5
04/04/2024,16,10,31,4
03/04/2024,28,6,27,5
02/04/2024,46,9,29,7
01/04/2024,22,15,23,12
31/03/2024,44,15,34,6
30/03/2024,15,12,29,13
29/03/2024,21,7,30,6
28/03/2024,49,9,32,7
27/03/2024,56,16,31,9
26/03/2024,44,19,27,6
25/03/2024,26,15,16,14
24/03/2024,26,11,27,5
23/03/2024,34,11,29,9
22/03/2024,52,14,27,12
21/03/2024,37,16,19,11
20/03/2024,19,11,21,8
19/03/2024,22,8,29,7
18/03/2024,43,10,28,8
17/03/2024,26,12,27,8
16/03/2024,18,10,23,13
15/03/2024,9,7,25,8
14/03/2024,14,4,28,3
13/03/2024,74,6,25,5
12/03/2024,78,27,17,16
11/03/2024,94,29,24,10
10/03/2024,99,38,23,6
09/03/2024,79,42,26,7
08/03/2024,85,33,27,7
07/03/2024,68,30,22,9
06/03/2024,52,24,11,14
05/03/2024,77,21,23,17
04/03/2024,46,28,25,15
03/03/2024,36,14,24,15
02/03/2024,35,11,22,12
01/03/2024,32,16,20,16
29/02/2024,50,17,27,11
28/02/2024,28,21,20,13
27/02/2024,33,10,18,13
26/02/2024,63,10,27,5
25/02/2024,57,22,24,12
24/02/2024,19,18,24,15
23/02/2024,16,8,23,14
22/02/2024,23,7,25,10
21/02/2024,38,8,25,9
20/02/2024,35,16,25,8
19/02/2024,23,14,26,7
18/02/2024,31,8,25,5
17/02/2024,21,11,18,13
16/02/2024,32,8,19,16
15/02/2024,62,11,15,13
14/02/2024,32,22,16,17
13/02/2024,31,12,21,15
12/02/2024,45,11,22,9
11/02/2024,61,12,16,9
10/02/2024,20,19,1,21
09/02/2024,42,6,5,12
08/02/2024,38,18,7,10
07/02/2024,18,24,8,21
06/02/2024,22,9,7,9
20/01/2024,30,12,16,10
19/01/2024,23,12,18,12
18/01/2024,24,15,18,12
17/01/2024,40,11,19,14
16/01/2024,24,18,23,14
15/01/2024,23,14,22,10
14/01/2024,28,11,20,8
13/01/2024,28,11,20,11
12/01/2024,24,10,20,10
