Commodity,Date,Unit,Minimum,Maximum,Average
Tomato Big(Nepali),2013-06-16,kg,35.0,40.0,37.5
Tomato Small(Local),2013-06-16,kg,26.0,32.0,29.0
Potato Red,2013-06-16,kg,20.0,21.0,20.5
Potato White,2013-06-16,kg,15.0,16.0,15.5
Onion Dry (Indian),2013-06-16,kg,28.0,30.0,29.0
Carrot(Local),2013-06-16,kg,30.0,35.0,32.5
Cabbage(Local),2013-06-16,kg,6.0,10.0,8.0
Cauli Local,2013-06-16,kg,30.0,35.0,32.5
Raddish Red,2013-06-16,kg,35.0,40.0,37.5
Raddish White(Local),2013-06-16,kg,25.0,30.0,27.5
Brinjal Long,2013-06-16,kg,16.0,18.0,17.0
Brinjal Round,2013-06-16,kg,20.0,22.0,21.0
Cow pea(Long),2013-06-16,kg,20.0,25.0,22.5
Green Peas,2013-06-16,kg,55.0,60.0,57.5
French Bean(Local),2013-06-16,kg,25.0,30.0,27.5
Soyabean Green,2013-06-16,kg,60.0,70.0,65.0
Bitter Gourd,2013-06-16,kg,14.0,16.0,15.0
Bottle Gourd,2013-06-16,kg,15.0,20.0,17.5
Pointed Gourd(Local),2013-06-16,kg,30.0,35.0,32.5
Snake Gourd,2013-06-16,kg,25.0,30.0,27.5
Smooth Gourd,2013-06-16,kg,20.0,25.0,22.5
Sponge Gourd,2013-06-16,kg,45.0,50.0,47.5
Pumpkin,2013-06-16,kg,18.0,20.0,19.0
Squash(Long),2013-06-16,kg,30.0,35.0,32.5
Turnip,2013-06-16,kg,45.0,50.0,47.5
Okara,2013-06-16,kg,20.0,25.0,22.5
Christophine,2013-06-16,kg,38.0,40.0,39.0
Brd Leaf Mustard,2013-06-16,kg,45.0,50.0,47.5
Spinach Leaf,2013-06-16,kg,50.0,55.0,52.5
Cress Leaf,2013-06-16,kg,55.0,60.0,57.5
Mustard Leaf,2013-06-16,kg,40.0,45.0,42.5
Fenugreek Leaf,2013-06-16,kg,55.0,60.0,57.5
Onion Green,2013-06-16,kg,40.0,45.0,42.5
Mushroom(Kanya),2013-06-16,kg,150.0,160.0,155.0
Asparagus,2013-06-16,kg,100.0,150.0,125.0
Neuro,2013-06-16,kg,50.0,60.0,55.0
Brocauli,2013-06-16,kg,70.0,80.0,75.0
Sugarbeet,2013-06-16,kg,35.0,40.0,37.5
Drumstick,2013-06-16,kg,35.0,40.0,37.5
Red Cabbbage,2013-06-16,kg,70.0,80.0,75.0
Lettuce,2013-06-16,kg,55.0,60.0,57.5
Celery,2013-06-16,kg,120.0,130.0,125.0
Parseley,2013-06-16,kg,180.0,190.0,185.0
Fennel Leaf,2013-06-16,kg,70.0,80.0,75.0
Mint,2013-06-16,kg,120.0,130.0,125.0
Turnip A,2013-06-16,kg,40.0,45.0,42.5
Tamarind,2013-06-16,kg,65.0,70.0,67.5
Bamboo Shoot,2013-06-16,kg,50.0,60.0,55.0
Tofu,2013-06-16,kg,55.0,60.0,57.5
Gundruk,2013-06-16,kg,180.0,190.0,185.0
